Cluster_kl,Cluster_log_data,Cluster_post_std,Cluster_std_mean,Diff_dist_offset,Diff_vf_offset,Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_action_l2,Loss_actor,Loss_ae,Loss_ag2,Loss_bc,Loss_cluster_std,Loss_critic,Loss_elbo,Loss_embed_total,Loss_q,Loss_reconstruct,Loss_vf,Loss_zdist,TestAgChangeRatio,Test_TestEnv_PlanSuccessRate,Test_TrainEnv_HerSuccessRate,Test_TrainEnv_PlanSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,Train_GoalDist,dist_bg,env_steps,offset,opt_steps,q_ag2,q_bg,q_future,q_pi,q_targ,r,replay_fill_ratio,replay_size,v_bg,zdist,Dist_min_path,Dist_to_landmarks,Graph_dist_min_0,Graph_dist_raw,Graph_dist_to_goal,Graph_dist_vi,Inner_PlanTest_AgChangeRatio,Shortest_Path,TestPlan_AgChangeRatio,TestPlan_GoalDist,TrainEnvTestPlan_GoalDist
0.16147826131184895,-14.402924479166666,0.011059060414632161,0.9881848958333334,1470.1878333333334,1471.3063333333334,0,0.8703809523809524,0.9460869565217391,0.001632406234741211,1.024974609375,2.191423828125,0.7738414713541667,0.321543212890625,0.0,0.10071746826171875,14.56440234375,14.56440234375,0.10071746826171875,1.3491609700520832,0.014018357594807943,0.8422626953125,0.9666666666666667,0.0,0.0,0.0,65.98716950416565,3.7651041666666667,0.03669659169514974,23000,1.0,0.0,47.285568104619564,1.0293143717447917,23000.0,31.594526041666665,1500.0,-0.870795654296875,-1.027724365234375,-1.000782958984375,-1.0241583658854168,-1.0329082845052084,-0.8515338541666667,0.023000000044703484,115.0,1.0261431477864584,0.36509452311197915,,,,,,,,,,,
0.15548755900065103,-14.736236979166666,0.011773780822753906,0.9881848958333334,1446.029,1446.9111666666668,1,0.9027619047619048,0.9206666666666666,0.002823052406311035,1.3157278645833332,0.826306884765625,0.53546044921875,0.294416748046875,0.0,0.05435965474446615,14.891723958333333,14.891723958333333,0.05435965474446615,0.006800980885823568,0.024477391560872395,0.8195059407552083,1.0,0.0,0.0,0.0,124.97921347618103,3.7196566263834634,0.03626317087809245,26000,1.0,0.0,54.540470377604166,1.3216870930989584,26000.0,31.567739583333335,3000.0,-0.7079435221354167,-1.3159326171875,-1.2606040852864584,-1.3143164876302083,-1.3168949381510417,-0.84100390625,0.026000000536441803,130.0,1.3201471354166667,0.6471961669921875,,,,,,,,,,,
0.2453980712890625,-15.005584635416668,0.015493647257486979,0.9881848958333334,1418.0565,1418.6496666666667,2,0.9394285714285714,0.936,0.00522795295715332,1.7426201171875,1.2579220377604166,0.5695535074869792,0.2763199462890625,0.0,0.04711784871419271,15.250984375,15.250984375,0.04711784871419271,0.007426155090332031,0.036672693888346354,1.2504957682291666,0.9666666666666667,0.0,0.0,0.0,184.015878200531,3.7258674621582033,0.03632413736979167,29000,1.0,0.0,57.89508056640625,1.75915771484375,29000.0,31.623432291666667,4500.0,-0.7138909505208333,-1.7421472981770834,-1.6518898111979166,-1.7400061848958333,-1.7431866861979166,-0.83519140625,0.028999999165534973,145.0,1.7576246744791666,0.9868224283854167,,,,,,,,,,,
0.3609426676432292,-15.2687265625,0.0198708127339681,0.9881848958333334,1378.9901666666667,1379.7436666666667,3,0.940952380952381,0.8623333333333333,0.015116156260172526,2.23308203125,1.84605419921875,0.681743408203125,0.2683177490234375,0.0,0.05902200317382812,15.62966796875,15.62966796875,0.05902200317382812,0.008363119761149089,0.057300806681315104,1.8376910807291666,0.9666666666666667,0.0,0.0,0.0,243.60623931884766,3.7501726786295575,0.03656755828857422,32000,0.8666666666666667,0.0,59.4488525390625,2.2696419270833332,32000.0,31.5628984375,6000.0,-0.7714637858072917,-2.2343426106770834,-2.113977701822917,-2.2255240885416665,-2.2353346354166668,-0.8300130208333333,0.03200000151991844,160.0,2.2680755208333334,1.3925305989583334,,,,,,,,,,,
0.5259066162109375,-15.50577734375,0.025707560221354165,0.9881848958333334,1346.0215,1347.00925,4,0.9293333333333333,0.917,0.040844950358072916,2.6990055338541667,2.5267112630208333,0.714380859375,0.27931292724609375,0.0,0.07817905680338541,16.031682291666666,16.031682291666666,0.07817905680338541,0.0101117738087972,0.08454014078776041,2.5165994466145833,1.0,0.0,0.06666667014360428,0.0,302.5136353969574,3.714008585611979,0.03621007283528646,35000,1.0,0.0,37.3888671875,2.7691028645833335,35000.0,31.590973958333333,7500.0,-0.7692172037760416,-2.7094754231770835,-2.559778645833333,-2.678583821614583,-2.7105670572916667,-0.8255260416666667,0.03500000014901161,175.0,2.767455403645833,1.7989152018229166,,,,,,,,,,,
0.6556719156901042,-15.693368489583333,0.030569501241048177,0.9881848958333334,1311.40575,1312.6545,5,0.9308571428571428,0.9023333333333333,0.07596995035807291,3.126744140625,3.3092386067708333,0.6776346028645833,0.30234773763020834,0.0,0.09994740804036459,16.34904166666667,16.34904166666667,0.09994740804036459,0.011249720255533854,0.11608409627278646,3.2979889322916667,0.9666666666666667,0.0,0.0,0.0,361.96449637413025,3.751917775472005,0.03657777150472005,38000,1.0,0.0,48.38739013671875,3.2465130208333335,38000.0,31.575981770833334,9000.0,-0.7181521809895833,-3.1575289713541665,-2.978409830729167,-3.0887594401041665,-3.158693359375,-0.8219309895833333,0.03799999877810478,190.0,3.2448821614583334,2.1843447265625,,,,,,,,,,,
0.7913429361979166,-15.837165364583333,0.03549205780029297,0.9881848958333334,1280.36475,1281.8608333333334,6,0.9703809523809523,0.929,0.10779935709635417,3.506265625,3.994708984375,0.6219468587239584,0.3255913289388021,0.0,0.12052727254231771,16.6285078125,16.6285078125,0.12052727254231771,0.011048802693684896,0.1492281494140625,3.98366015625,1.0,0.0,0.0,0.0,421.11851954460144,3.7291188557942707,0.03636078135172526,41000,1.0,0.0,46.03185221354167,3.6905735677083333,41000.0,31.5911484375,10500.0,-0.6431274820963542,-3.5678206380208333,-3.3510846354166666,-3.4523665364583334,-3.5688138020833335,-0.8190338541666666,0.04100000113248825,205.0,3.688963541666667,2.58026513671875,,,,,,,,,,,
0.9903269856770833,-15.945755208333333,0.04229867045084636,0.9881848958333334,1249.5108333333333,1251.3629166666667,7,0.9457142857142857,0.939,0.13439871215820312,3.852482421875,4.581165690104167,0.5525762939453125,0.34477384440104164,0.0,0.14084086100260418,16.936080729166665,16.936080729166665,0.14084086100260418,0.011509557088216146,0.18676078287760417,4.56965625,1.0,0.0,0.06666667014360428,0.0,480.85676622390747,3.7647478739420572,0.03669536844889323,44000,1.0,0.06666666666666667,55.44536539713542,4.107869791666666,44000.0,31.575088541666666,12000.0,-0.5541274007161459,-3.947439453125,-3.6865006510416665,-3.7852825520833333,-3.948421875,-0.8182265625,0.04399999976158142,220.0,4.106283854166667,2.9840201822916668,,,,,,,,,,,
1.1664940592447917,-16.0322578125,0.04831316630045573,0.9881848958333334,1222.3623333333333,1224.524,8,0.9524761904761905,0.9336666666666666,0.15568900553385417,4.152465169270833,5.025553385416667,0.4886578776041667,0.3602547200520833,0.0,0.15682338460286457,17.198752604166668,17.198752604166668,0.15682338460286457,0.012693550109863281,0.2258167724609375,5.012859700520833,1.0,0.0,0.06666667014360428,0.0,540.2480564117432,3.742046356201172,0.0364879150390625,47000,1.0,0.0,43.61503499348958,4.4838486328125,47000.0,31.60546875,13500.0,-0.456911376953125,-4.2836171875,-3.97657421875,-4.0746201171875,-4.2845263671875,-0.8175598958333333,0.04699999839067459,235.0,4.482392578125,3.3736510416666667,,,,,,,,,,,
1.3599892578125,-16.1067265625,0.054674809773763024,0.9881848958333334,1197.4756666666667,1199.9891666666667,9,0.929047619047619,0.9303333333333333,0.18160207112630208,4.411413411458334,5.3371904296875,0.42989208984375,0.381835205078125,0.0,0.16865939331054688,17.466716145833335,17.466716145833335,0.16865939331054688,0.013880605061848959,0.2654925333658854,5.323309895833333,1.0,0.0,0.06666667014360428,0.0,599.8751630783081,3.7583719889322915,0.03663814798990885,50000,1.0,0.0,54.09449055989583,4.825297200520834,50000.0,31.6203046875,15000.0,-0.3634552815755208,-4.583576497395834,-4.223111328125,-4.3206123046875,-4.584427734375,-0.8180260416666667,0.05000000074505806,250.0,4.8239039713541665,3.753221028645833,,,,,,,,,,,
